id,title,context,question,answer,start_point
24, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,I am a teacher and I love to use Clorox wipes to keep my classroom clean and germ-free. Thanks! This review was collected as part of a promotion.,What is review for Clorox Disinfecting Wipes?,I love to use Clorox wipes to keep my classroom clean and germ-free.,20
25, L'oreal Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz ,"Loreal Extraordinary Clay Pre-Shampoo Mask (spread throughout dry roots and rinse out after 5 minutes), Shampoo Conditioner for oily roots and dry ends. The claim is *up to* 48 hours of purified roots and hydrated ends. Bottom line: Yes this 3-step system did help control my oily roots better than my normal shampoo and conditioner. No it did not control it for 48 hours. But I did get over 24! Im a person who can never skip a day of washing my hair (not if I want to leave the house). And with this system, I still can't. BUT I found I could get up the next morning and run errands if I need to, without looking like a hobo. This 3-step system definitely pro-longed the need to wash my hair by several hours. For example, after washing my hair around 6:30 on a Friday morning, by Saturday morning my hair still looked clean and presentable enough to be seen in public - up until about 11 am. After that my hair started to feel grimy and weird, and it lost all volume. I ended up having to pull it back up in a pony tail because it was laying so flat to my head. Dont get me wrong though, this is still a major improvement. Usually my hair is a greasy mess by 8 or 9 pm the same day that I wash it. So all in all, if I have something to run out and do early the next day, then yes the time and effort of using this 3 step system would be a worth it and helpful time saver. But I wouldnt bother with it every day. Which is good because there isnt enough product in the hair mask tub for you to do it every day anyway. It is a tad difficult to spread the mask throughout the roots of your hair when your hair is dry. You end up using a lot, no matter how hard you try to use it sparingly. So just a note, you will run out of the mask long before you run out of the shampoo and conditioner, unless you only use it for special occasions Which brings me to results of using the shampoo and conditioner alone, for those who are interested in just trying those two items. Bottom line: Its still great for oily roots! I wash my hair in the morning and its soft and bouncy and full of volume all throughout my work day - and on into the night. My ends felt hydrated and my roots didnt start to get oily until around 2 am. Which makes me very happy! I can have late night plans after work and my hair is one less thing I have to worry about! This line gets a thumbs up from me for every day wear, even without the mask. Received free from Influenster for testing and review purposes. All opinions are my own. This review was collected as part of a promotion.",What is the review for Loreal Paris Extraordinary Clay Rebalancing Conditioner?,makes me very happy!,2222
26, Tide Original Liquid Laundry Detergent - 100 Oz ,"All HE Tide products should come in another color than the original bottles. I can only use the HE products and mistakenly grab the wrong bottle almost every visit to the store. I see the HE bottle, but grab the wrong one since they are stocked consistently next to the original bottles. Help P G and Tide. Change the bottles, why don't ya",How good is the Original Liquid Laundry Detergent ?,"All HE Tide products should come in another color than the original bottles. I can only use the HE products and mistakenly grab the wrong bottle almost every visit to the store. I see the HE bottle, but grab the wrong one since they are stocked consistently next to the original bottles. Help P G and Tide. Change the bottles, why don't ya",1
27, Sausage Party (4k/uhd + Digital) ,The trailer showed most of them...But you'll laugh again anyway.,What is the review on Sausage Party?,you'll laugh,39
28, Rubbermaid174 Reveal Spray Mop ,"I don't know what's with all the bad reviews for this mop. I love them. We clean over 10 houses a week, plus our own with these mops, and they work great. I thought the trigger was broken too, but realized I hadn't pushed the bottle down all the way. One we own does leak when the mop is upside down, but we really put these things to use! Each of our mops cleans over 10,000 square feet a week. I do wish rubbermaid would make replacement scrubby pads for them though",What are people's opinion on Rubbermaid174 Reveal Spray Mop?, I do wish rubbermaid would make replacement scrubby pads for them though,396
29," NYX Slim Lip Pencil, Cabaret ",They go on silky smooth and there are several colors to choose from.,What are the opinions on NYX Slim Lip Pencil?,They go on silky smooth and there are several colors to choose from.,1
30," Tide Pods Detergent, Botanical Rain, 61ct ","MY ROOMMATE IS IN THE MILITARY SO HE SWEATS A TON IN HIS UNIFORM, THIS PRODUCT IS ALWAYS ABLE TO MAKE HIS UNIFORMS SMELLING FRESH FOR THE NEXT WORK DAY. I WOULD RECOMMEND THIS PRODUCT HIGHLY",How is the review for Tide Pods Detergent?,I WOULD RECOMMEND THIS PRODUCT HIGHLY,154
31, The Jungle Book (blu-Ray/dvd + Digital) ,Really enjoyed the update to Jungle Book. Hope Disney does more of these updates.,Is the Jungle Book Good?,Really enjoyed,1
32, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,The Clorox wipes make it easy to clean yucky messes. You know it's clean and there are no germs to worry about! And the best part is that you throw the wipe away. No fuss no muss!! This review was collected as part of a promotion.,Is Clorox Disinfecting Wipes a good product?,it's clean and there are no germs to worry about! And the best part is that you throw the wipe away.,63
33, Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd ,Watched the movie in theaters and definitely enjoyed it the second time around at home. My son loves being to watch it on the go with the digital copy.,How are the reviews for Godzilla 3d?,loves being to watch it on the go with the digital copy.,96
34, The Jungle Book (blu-Ray/dvd + Digital) ,Great movie to add to your collections. I was actually looking to buy the 4K format but not yet available.,How is the Jungle Book?,4K format but not yet available.,75
35, Quilted Northern Ultra Plush Toilet Paper - 18 Mega Rolls ,"Love, love this tissue. You get the same results using less. Love the soft feel and pretty pattern. I am not changing the rolling every other day now. This review was collected as part of a promotion.",Is the Quilted Northern Ultra Plush Toilet Paper Good?,"Love, love this tissue. You get the same results using less.",1
36, The Secret Life Of Pets (4k/uhd + Blu-Ray + Digital) ,Fun for the kids and adults alike! Truly one of the better animated movies put out in quite some time.,How good is the The Secret Life Of Pets?,Fun for the kids and adults alike!,1
37, Silver Linings Playbook (dvd) ,"Awesome movie at a great price. Can't say enough about the acting, writing and directing.",Is the Silver Linings Playbook Good?,Awesome movie at a great price.,1
38, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,"I love these wipes, I keep them within grabbing distance in every area of my home that has surfaces needing to be cleaned! This review was collected as part of a promotion.",How is the Clorox Disinfecting Wipes?,I love these wipes,1
39, Independence Day Resurgence (4k/uhd + Blu-Ray + Digital) ,not worth watching unless you are a dire hard fan of the original,Is Independence Day Resurgence Good Movie?,not worth watching,1
40, The Secret Life Of Pets (4k/uhd + Blu-Ray + Digital) ,The movie has a good cast and entertained the family. We enjoyed it!,How is The Secret Life Of Pets?,entertained the family. We enjoyed it!,31
41, The Secret Life Of Pets (4k/uhd + Blu-Ray + Digital) ,This is a great movie my Grandkids love and it was a great deal!,Is The Secret Life Of Pets a good Moive?,my Grandkids love and it was a great deal!,23
42, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,Awesome product that cleans everything and I have confidence that it is clean This review was collected as part of a promotion.,Is the Clorox Disinfecting Wipes a good product?,Awesome product that cleans everything,1
43, Dark Shadows (includes Digital Copy) (ultraviolet) (dvdvideo) ,"Loved this movie! Funny, stupid and gross all in one.",What are the opinions on Dark Shadows?,"Loved this movie! Funny, stupid and gross all in one.",1
44, The Resident Evil Collection 5 Discs (blu-Ray) ,This set provides a great collection of all of the Resident Evil movies so far. The Picture quality is great!,Is The Resident Evil Collection Good?,The Picture quality is great!,81
45, Independence Day Resurgence (4k/uhd + Blu-Ray + Digital) ,"Just as great as the first movie, always fun to see the same characters in the second movie.",How good is the Independence Day Resurgence?,Just as great as the first movie,1
46, L'oreal Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz ,"This is the absolute best! It really helps to combat the drying effects of the shampoo, while giving extra love to ends that were already super dry to begin with. Each drop helps my hair to feel silkier and softer. I also really enjoy the way it smells Using this with the shampoo is a must but sometimes I forgo the mask. Still, my ends look and feel radiant because of this, and it's even easier to comb my fingers through. If you want to go from being Severus Snape to Sirius Black, this is for you. I received this product complimentary for testing purposes but all opinions are my own. This review was collected as part of a promotion.",Is the L'oreal Paris Elvive Extraordinary Clay Rebalancing Conditioner any good?,"This is the absolute best! It really helps to combat the drying effects of the shampoo, while giving extra love to ends that were already super dry to begin with. Each drop helps my hair to feel silkier and softer.",1
47, The Jungle Book (blu-Ray/dvd + Digital) ,This was a really good movie. Wasn't sure going into it what to expect but was really surprised by how it turned out. Graphics were really good.,What's the review of the movie The Jungle Book?,This was a really good movie,1
48, Clorox Disinfecting Bathroom Cleaner ,I love the smell of these. They are so easy to clean with and can be used on just about anything!!!! Great for on the go as well!!!!! LOVE THEM!!,What do people think about Clorox Disinfecting Bathroom Cleaner?,They are so easy to clean with and can be used on just about anything,28
49," Burt's Bees Lip Shimmer, Raisin ","Most lip colors dry out my skin, and I have a very hard time finding a product that my lips will tolerate. The lip shimmer keeps my skin moist, and I love feeling like I've dressed up a bit by having color on my lips. It's a great option for a lunch date! This review was collected as part of a promotion.",What's the opinion on Burt's Bees Lip Shimmer?,"The lip shimmer keeps my skin moist, and I love",108
50, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,With 2 small children I do a lot of cleaning and the wipes are easy to use and work well. This review was collected as part of a promotion.,What are postitives of Clorox Disinfexting Wipes?,wipes are easy to use and work well.,54
51, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,Easy to use. I have one tub in every bathroom in my house. makes for quick clean up that you get living with men. This review was collected as part of a promotion.,What is the opinion on Clorox Disinfectant Wipes?,Easy to use,1
52, The Secret Life Of Pets (4k/uhd + Blu-Ray + Digital) ,Good movie for little ones! My kids love it! Especially for those who love dogs!,What do people think of The Secret Life Of Pets?, Good movie for little ones! My kids love it! Especially for those who love dogs,#VALUE!
53, The Resident Evil Collection 5 Discs (blu-Ray) ,"Already had first few RE movies, love the blue ray experience and was already sold when I first saw this blue ray bundle. All movies are individually packaged and have original covers from when they first came out. Good buy for 15 when individual they can run from 5 to $10.",Are The Resident Evil Collection 5 Discs worth buying?, Good buy for 15 when individual they can run from 5 to $10,215
54," Olay Total Effects Daily Moisturizer, 7-In-1 Anti-Aging, 0.5oz ",It was really good and amazing. It was definitely a good product and i would definitely recommend it.,What's the opinion on Olay Total Effects Daily Moisturizer?,a good product and i would definitely recommend it,51
55, Opti-Free Puremoist Disinfecting Solution 10fl Oz ,We use this solution for storing lenses only. For rinsing we use Equate Saline Solution which has no germ killing properties. We use this method because knowing that this product is cheaper we tend to rinse more thoroughly and use this product to kill germs by storing lenses in it.,Is Opti-Free Puremoist Disinfecting Solution effective?,use this product to kill germs by storing lenses in it,228
56, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,"I recently used the Lemon Kitchen wipes, and they cleaned hard grease areas just like that. I'm sold now!!! This review was collected as part of a promotion.",What's so good about Clorox Disinfecting Wipes?, they cleaned hard grease areas just like that.,45
57, Independence Day Resurgence (4k/uhd + Blu-Ray + Digital) ,"I don't care what anyone says, this movie was great. Showed humans using the tech that was used against us the first time and kicking butt.",What is the review on Independence Day Resurgence?,movie was great.,37
58, The Jungle Book (blu-Ray/dvd + Digital) ,"After I watched it a couple more times with my kids, I've come to appreciate it more and more. The humor is good. The camera work is great. But overall, it's just a beautiful movie...especially on Bluray.",What do people think of  The Jungle Book?,"overall, it's just a beautiful movie",145
59, Sony Wireless In-Ear Headphone - Black ,"These headphones are great, the sound is clear , the bass is great! Great for the gym",What are the best features about Sony Wireless In-Ear Headphone?," sound is clear , the bass is great",32
60, The Secret Life Of Pets (4k/uhd + Blu-Ray + Digital) ,"This movie was far better than I expected it to be. However, it is not as good as Toy Story or Up but it is certainly worth having as it is at least one tier below those movies.",How is the movie The Secret Life Of Pets compared to Toy Story or Up?,it is not as good as Toy Story or Up,62
61, Pulp Fiction (dvdvideo) ,It is hard to believe that Pulp Fiction was made more than 20 years ago. Even after all this time it is truly an exceptional piece of movie making. Entertaining from the first story to wrapping them all up at the end.,What is people's opinon on the movie Pulp Fiction?,truly an exceptional piece of movie making,105
62, Kraus FVS-1007 Single Hole Vessel Bathroom Faucet from the Ramus Collection ,"We just installed this faucet and so far I am satisfied. We seem to have anissue with low pressure on the cold side, but it is ok and I love that it doesn't splash",What do people think of Kraus FVS-1007 Single Hole Vessel Bathroom Faucet?,so far I am satisfied.,35
63, The Jungle Book (blu-Ray/dvd + Digital) ,Great filming and the animals seemed very real life.,What's special about the movie The Jungle Book?,Great filming and the animals seemed very real life.,1
64, Planes: Fire Rescue (2 Discs) (includes Digital Copy) (blu-Ray/dvd) ,I loved this movie better than the 1st one.my son loves this movie as well,What do people think of the movie  Fire Rescue ?,loved this movie,3
65, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,I use them to remove stains on my cloth chairs also use it on my carpet. This review was collected as part of a promotion.,On what things do people use Clorox Disinfecting Wipes?, I use them to remove stains on my cloth chairs also use it on my carpet.,#VALUE!
66, The Secret Life Of Pets (4k/uhd + Blu-Ray + Digital) ,I saw this movie in the theater and loved it so I bought it for my grandkids to watch at my house it is a good movie and really funny,What do people think about the movie The Secret Life Of Pets?, it is a good movie and really funny,98
67, The Jungle Book (blu-Ray/dvd + Digital) ,The story comes to life as never before in yet another thrilling Disney adventure film.,What's the review about the movie The Jungle Book?,The story comes to life as never before in yet another thrilling Disney adventure film.,1
68, The Secret Life Of Pets (4k/uhd + Blu-Ray + Digital) ,Watch in theaters my wife love the movie so i pick it up for her.,Is the movie The Secret Life Of Pets worth watching?, Watch in theaters my wife love the movie so i pick it up for her.,#VALUE!
69, Lean Cuisine Culinary Collection Sweet and Sour Chicken ,Full of flavor and its just right portion. A must buy it taste better than some resturants.,What is good about Lean Cuisine Culinary Collection Sweet and Sour Chicken?, A must buy,43
70, Tide Original Liquid Laundry Detergent - 100 Oz ,"Tide Pods turn all my white arm pits purple and cannot remove them. Tried bleach, peroxide.",What do people think about Tide Original Liquid Laundry Detergent?,Tide Pods turn all my white arm pits purple and cannot remove them,1
71," L'oreal Paris Advanced Haircare, Color Vibrancy Nourishing Conditioner 12.6oz ",This conditioner is great! I love the way my hair feels after I use it. It feels smooth and soft. It makes it super easy to comb my hair. I received this product free but the opinions are mine. This review was collected as part of a promotion.,"What are people's opinions about  L'oreal Paris Advanced Haircare, Color Vibrancy Nourishing Conditioner?",It feels smooth and soft. It makes it super easy to comb my hair,73
72, Clorox Disinfecting Bathroom Cleaner ,I am a busy mom always on the go. The wipes are not only convenient but give me piece of mind that my home is clean. I dont have to worry about germs on my counters. I also like the clean scent,What do people think about  the scent of  Clorox Disinfecting Bathroom Cleaner?, I also like the clean scent,166
73, The Secret Life Of Pets (4k/uhd + Blu-Ray + Digital) ,My two year old granddaughter absolutely loves this movie. It has become her daily request. I am an animal lover. It's fun to imagine the antics that my pets get into while I'm away. My granddaughter and I watch this movie over and over with enjoyment each time.,Is the movie The Secret Life Of Pets kids friendly?,My granddaughter and I watch this movie over and over with enjoyment each time.,184
74, Independence Day Resurgence (4k/uhd + Blu-Ray + Digital) ,This movie to me was really good I liked the story line the graphics were great along with the special features.,What do people think about the movie Indipendence Day?,really good,22
75, Head & Shoulders Dry Scalp Care Conditioner ,"I have very fine hair. It tangles easily and it is hard finding a conditioner that does everything I need it to. This helped with the knots. Not only that, but also helps with itch and flakes! I have noticed a difference just in the couple times I have used it. I received this product from Influenster, in exchange for my honest opinion. Love the smell!",Is Head & Shoulders Dry Scalp Care Conditioner worth buying?,"This helped with the knots. Not only that, but also helps with itch and flakes! I have noticed a difference just in the couple times I have used it.",114
76, Jolly Time Select Premium Yellow Pop Corn ,great..... pops ...taste good...,What do people think about Jolly Time Select Premium Yellow Pop Corn ?,great..... pops ...taste good.,1
77, The Resident Evil Collection 5 Discs (blu-Ray) ,a great packaging before the series finale come out,What's people's opinion about the movie The Resident Evil Collection 5 Discs?,a great packaging before the series finale come out,1
78, Nexxus Exxtra Gel Style Creation Sculptor ,"Simply put, the new product does not work. Have been a loyal customer for years but will have to switch. This was a big mistake in changing the formula as you will definitely lose long-term customers. I hope you reconsider your decision and bring the old formulation back.",Is Nexxus Exxtra Gel Style Creation Sculptor worth buying?,This was a big mistake in changing the formula as you will definitely lose long-term customers.,106
79, Independence Day Resurgence (4k/uhd + Blu-Ray + Digital) ,"This movie had a very good picture and color. The effects were well done, but the plot was predictable. A little cheesy, but not as climactic as the first movie. Did not carry the star power the first one did either. Lots of action and explosions for the action buff.",What do people think about the movie  Independence Day Resurgence compared to the 1st one,not as climactic as the first movie. Did not carry the star power the first one did either,126
80, Independence Day Resurgence (4k/uhd + Blu-Ray + Digital) ,I thought this movie was better than expected. And was a good sale price at BB.,How is the movie Independence Day Resurgence?,this movie was better than expected,11
81," Johnson's Baby Bubble Bath and Wash, 15oz ",My babies love the bubbles and mom loves that is tear free and the fragrance,What so good about Johnsons's Baby Bubble Bath and Wash?,babies love the bubbles and mom loves that is tear free and the fragrance,4
82, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,Clorox has amazing products but my favorite are the Clorox Wipes. It makes cleaning super convenient and fun! This review was collected as part of a promotion.,What do people think about Clorox Disinfecting Wipes?, It makes cleaning super convenient and fun!,66
83, L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz ,"I received this product complimentary to test out, but my opinions are my own. First I love the way it smells! It's also leaving my hair so soft and lightweight. I usually struggle with conditioner leaving my hair feeling oily but this conditioner does wonders. Will definitely be buying for myself! This review was collected as part of a promotion.",What do people think about  L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner?, I usually struggle with conditioner leaving my hair feeling oily but this conditioner does wonders. Will definitely be buying for myself!,162
84, Pantene Airspray Hairspray - 7 Oz ,Love the light hold love the scent,What do people love about  Pantene Airspray Hairspray?,Love the light hold love the scent,1
85, The Jungle Book (blu-Ray/dvd + Digital) ,Great movie with great graphics and cinematography.,What do people think about themovie The Jungle Book?,Great movie with great graphics and cinematography,1
86, Sony Wireless In-Ear Headphone - Black ,"Comfortable to wear, excellent sound and true Sony value.",What's the review about Sony Wireless In-Ear Headphone?,"Comfortable to wear, excellent sound and true Sony value",1
87, L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz ,"I got this for free to test out but my review and opinion is completely true and my own. This smells amazing for the first part, and it stays smelling even after your hair dries. My hair feels so soft and smooth, my roots aren't oily, and my ends are looking a little healthier. I look forward to continuing to use this. This review was collected as part of a promotion.",Is L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner worth buying?,"My hair feels so soft and smooth, my roots aren't oily, and my ends are looking a little healthier. I look forward to continuing to use this.",180
88, Citrus Magic Instant Spot & Stain Remover ,I use this for stains on carpet (pet and kid) works great so far., Is Citrus Magic Instant Spot & Stain Remover effective?, I use this for stains on carpet (pet and kid) works great so far,#VALUE!
89, The Jungle Book (blu-Ray/dvd + Digital) ,"good movie, although i enjoyed the original version a lot better.",How's the movie The Jungle Book?,"good movie, although i enjoyed the original version a lot better",1
90," Almay Intense I-Color Liner, Black Pearl ",Previously had only used liquid liner. Decided to try this. Lost the first one while traveling and then bought a Maybelline Unstoppable Eyeliner. I was so surprised at how bad that one was compared to the Almay Intense. I had to hurry and get another Almay Liner. It is so smooth and wears so much better.,What do people think about  Almay Intense I-Color Liner ?,It is so smooth and wears so much better.,265
91, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,i like these because they are thicker than Lysol and have more wipes.,Is Clorox Disinfecting Wipes a good option?, they are thicker than Lysol and have more wipes.,21
92, My Big Fat Greek Wedding 2 (blu-Ray + Dvd + Digital) ,I think this one's as good as the original. Love how it all comes together in the end.,What's the review of the movie My Big Fat Greek Wedding 2?,this one's as good as the original. Love how it all comes together in the end.,9
93, Independence Day Resurgence (4k/uhd + Blu-Ray + Digital) ,excellent movie great to see most actors return great action.,What do people think of the movie Independence Day Resurgence?,excellent movie,1
94, Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total ,"Great product! I've used them for years, both at the office and at home. I would recommend them to anyone. This review was collected as part of a promotion.",What's people's opinion about Clorox Disinfecting Wipes?,"used them for years, both at the office and at home. I would recommend them to anyone",21
95," Tide Pods Detergent, Botanical Rain, 61ct ",I used to use gain flings under the assumption that they are a less expensive version of tide pods. They aren't. Tide pods are far superior. The clothes come out smelling fresh and stay fresh longer.,How is Tide Pods Detergent?,Tide pods are far superior. The clothes come out smelling fresh and stay fresh longer.,114
96, The Secret Life Of Pets (4k/uhd + Blu-Ray + Digital) ,We really enjoyed this movie. It was very upbeat and fast movie with an actual story line.,What do people think about the movie The Secret Life Of Pets?,enjoyed this movie,11
97, Independence Day Resurgence (4k/uhd + Blu-Ray + Digital) ,Didn't get to see this movie at theatre. Special effects were ok but not as good a movie as first one.,Wha's the revie of the movie Independence Day Resurgence?,not as good a movie as first one.,70
98," Tide Pods Detergent, Botanical Rain, 61ct ",Tide pods cleaned well and the clothes smelt nice. (This review was collected as part of a promotion.),What do people think of the scent of Tide Pods Detergent?,clothes smelt nice,32
99, Clear Scalp & Hair Therapy Total Care Nourishing Shampoo ,SMELLS GREAT AND LOOKED GREAT WHEN DONE. HAD A GREAT CLEAN FEELING AFTER TOWELING DOWN MY HAIR.,What are people's opinion on Clear Scalp & Hair Therapy Total Care Nourishing Shampoo?,SMELLS GREAT AND LOOKED GREAT WHEN DONE,1
100, Monster Trucks (blu-Ray + Dvd + Digital) ,We did not stop it one time to get anything. A very good movie.,What do people think of the movie Monster Trucks?, very good movie.,47
